"","or","2.5 %","97.5 %"
"(Intercept)",0.211879097050835,0.124369001114556,0.355663272683624
"age",1.00373038479545,0.992176210552011,1.01545235024618
"sexMale",0.99531684458193,0.725600917078998,1.36142349627977
